"","game_id","team_a","team_b","court","a_score","b_score","a_flag","b_flag","date","season"
"1",1,"california-irvine","illinois","B",65,79,0,0,2010-11-08,2011
"2",2,"seattle","maryland","B",76,105,0,0,2010-11-08,2011
"3",3,"rhode-island","pittsburgh","B",75,83,0,0,2010-11-08,2011
"4",4,"navy","texas","B",52,83,0,0,2010-11-08,2011
"5",5,"toledo","illinois","B",45,84,0,0,2010-11-10,2011
"6",6,"college-of-charleston","maryland","B",74,75,0,0,2010-11-10,2011
"7",7,"illinois-chicago","pittsburgh","B",54,97,0,0,2010-11-10,2011
"8",8,"louisiana-tech","texas","B",58,89,0,0,2010-11-10,2011
"9",9,"millikin","akron","B",41,89,1,0,2010-11-12,2011
"10",10,"florida-am","alabama","B",37,76,0,0,2010-11-12,2011
"11",11,"cornell","albany-ny","B",65,61,0,0,2010-11-12,2011
"12",12,"saint-francis-pa","american","B",52,62,0,0,2010-11-12,2011
"13",13,"vassar","army","B",49,66,1,0,2010-11-12,2011
"14",14,"north-carolina-asheville","auburn","B",70,69,0,0,2010-11-12,2011
"15",15,"grambling","baylor","B",52,87,0,0,2010-11-12,2011
"16",16,"st-francis-ny","boston-college","B",49,79,0,0,2010-11-12,2011
"17",17,"texas-am-kingsville","bradley","B",55,66,1,0,2010-11-12,2011
"18",18,"fresno-state","brigham-young","B",56,83,0,0,2010-11-12,2011
"19",19,"central-michigan","cal-state-fullerton","B",70,67,0,0,2010-11-12,2011
"20",20,"denver","california-santa-barbara","B",49,65,0,0,2010-11-12,2011
"21",21,"st-bonaventure","canisius","B",70,80,0,0,2010-11-12,2011
"22",22,"west-florida","central-florida","B",61,115,1,0,2010-11-12,2011
"23",23,"gardner-webb","charlotte","B",78,70,0,0,2010-11-12,2011
"24",24,"concordia-il","chicago-state","B",75,79,1,0,2010-11-12,2011
"25",25,"western-carolina","clemson","B",64,87,0,0,2010-11-12,2011
"26",26,"bryant","cleveland-state","B",57,71,0,0,2010-11-12,2011
"27",27,"piedmont","coastal-carolina","B",52,112,1,0,2010-11-12,2011
"28",28,"idaho-state","colorado","B",80,88,0,0,2010-11-12,2011
