"","Rk","Season","Conf","W","L","W-L%","SRS","SOS","PFPG","PAPG","AP Pre","AP High","AP Final","NCAA Tournament","Coach(es)","team_name","missing"
"1","1","2018","Big West","7","13",".350","-2.62","2.94","70.4","71.1","","","","","Russ Turner (7-13)","california-irvine",FALSE
"2","2","2017","Big West","21","15",".583","0.18","-2.70","69.8","64.8","","","","","Russ Turner (21-15)","california-irvine",FALSE
"3","3","2016","Big West","28","10",".737","5.33","0.77","71.2","66.1","","","","","Russ Turner (28-10)","california-irvine",FALSE
"4","4","2015","Big West","21","13",".618","3.63","0.45","67.5","62.1","","","","Lost Second Round","Russ Turner (21-13)","california-irvine",FALSE
"5","5","2014","Big West","23","12",".657","4.35","-0.65","70.5","63.7","","","","","Russ Turner (23-12)","california-irvine",FALSE
"6","6","2013","Big West","21","16",".568","0.17","-0.66","69.1","65.4","","","","","Russ Turner (21-16)","california-irvine",FALSE
"7","7","2012","Big West","12","20",".375","-6.07","-1.24","68.1","72.2","","","","","Russ Turner (12-20)","california-irvine",FALSE
"8","8","2011","Big West","13","19",".406","-3.78","-2.36","75.3","75.6","","","","","Russ Turner (13-19)","california-irvine",FALSE
"9","9","2010","Big West","14","18",".438","-7.49","-3.75","67.6","69.6","","","","","Pat Douglass (14-18)","california-irvine",FALSE
"10","10","2009","Big West","12","19",".387","-5.80","-1.80","65.4","68.8","","","","","Pat Douglass (12-19)","california-irvine",FALSE
"11","11","2008","Big West","18","16",".529","-1.20","-2.41","68.0","65.8","","","","","Pat Douglass (18-16)","california-irvine",FALSE
"12","12","2007","Big West","15","18",".455","-3.77","-1.43","66.2","67.0","","","","","Pat Douglass (15-18)","california-irvine",FALSE
"13","13","2006","Big West","16","13",".552","2.45","-1.87","71.3","67.8","","","","","Pat Douglass (16-13)","california-irvine",FALSE
"14","14","2005","Big West","16","13",".552","-2.80","-1.80","68.7","67.7","","","","","Pat Douglass (16-13)","california-irvine",FALSE
"15","15","2004","Big West","11","17",".393","-3.33","-0.10","63.6","66.1","","","","","Pat Douglass (11-17)","california-irvine",FALSE
"16","16","2003","Big West","20","9",".690","2.07","-1.65","70.0","64.0","","","","","Pat Douglass (20-9)","california-irvine",FALSE
"17","17","2002","Big West","21","11",".656","3.44","-0.19","69.4","65.3","","","","","Pat Douglass (21-11)","california-irvine",FALSE
"18","18","2001","Big West","25","5",".833","2.12","-2.58","70.3","64.3","","","","","Pat Douglass (25-5)","california-irvine",FALSE
"19","19","2000","Big West","14","14",".500","-3.51","-0.77","67.0","67.6","","","","","Pat Douglass (14-14)","california-irvine",FALSE
"20","20","1999","Big West","6","20",".231","-8.42","-1.63","65.1","70.0","","","","","Pat Douglass (6-20)","california-irvine",FALSE
"21","21","1998","Big West","9","18",".333","-7.87","0.49","62.3","69.5","","","","","Pat Douglass (9-18)","california-irvine",FALSE
"22","22","1997","Big West","1","25",".038","-20.14","1.09","58.2","79.5","","","","","Rod Baker (1-25)","california-irvine",FALSE
"23","23","1996","Big West","15","12",".556","0.63","-1.44","75.0","73.0","","","","","Rod Baker (15-12)","california-irvine",FALSE
"24","24","1995","Big West","13","16",".448","-0.16","3.09","76.7","79.4","","","","","Rod Baker (13-16)","california-irvine",FALSE
"25","25","1994","Big West","10","20",".333","-4.67","0.43","79.0","83.0","","","","","Rod Baker (10-20)","california-irvine",FALSE
"26","26","1993","Big West","6","21",".222","-3.78","2.91","73.1","78.3","","","","","Rod Baker (6-21)","california-irvine",FALSE
"27","27","1992","Big West","7","22",".241","-3.38","4.17","68.3","75.8","","","","","Rod Baker (7-22)","california-irvine",FALSE
"28","28","1991","Big West","11","19",".367","-3.45","4.08","84.4","92.0","","","","","Bill Mulligan (11-19)","california-irvine",FALSE
